,Unnamed: 0,date,icon01_x,icon01_y,icon02_x,icon02_y,icon03_x,icon03_y,icon04_x,icon04_y,icon05_x,icon05_y,icon06_x,icon06_y,icon07_x,icon07_y,icon08_x,icon08_y,icon11_x,icon11_y,icon15_x,icon15_y,icon01_nx,icon01_ny,icon02_nx,icon02_ny,icon03_nx,icon03_ny,icon04_nx,icon04_ny,icon05_nx,icon05_ny,icon06_nx,icon06_ny,icon07_nx,icon07_ny,icon08_nx,icon08_ny,icon11_nx,icon11_ny,icon15_nx,icon15_ny,"icon01_nx_[6, 1]","icon01_ny_[6, 1]","icon01_nx_[6, 3]","icon01_ny_[6, 3]","icon01_nx_[12, 1]","icon01_ny_[12, 1]","icon01_nx_[12, 3]","icon01_ny_[12, 3]","icon02_nx_[6, 1]","icon02_ny_[6, 1]","icon02_nx_[6, 3]","icon02_ny_[6, 3]","icon02_nx_[12, 1]","icon02_ny_[12, 1]","icon02_nx_[12, 3]","icon02_ny_[12, 3]","icon03_nx_[6, 1]","icon03_ny_[6, 1]","icon03_nx_[6, 3]","icon03_ny_[6, 3]","icon03_nx_[12, 1]","icon03_ny_[12, 1]","icon03_nx_[12, 3]","icon03_ny_[12, 3]","icon04_nx_[6, 1]","icon04_ny_[6, 1]","icon04_nx_[6, 3]","icon04_ny_[6, 3]","icon04_nx_[12, 1]","icon04_ny_[12, 1]","icon04_nx_[12, 3]","icon04_ny_[12, 3]","icon05_nx_[6, 1]","icon05_ny_[6, 1]","icon05_nx_[6, 3]","icon05_ny_[6, 3]","icon05_nx_[12, 1]","icon05_ny_[12, 1]","icon05_nx_[12, 3]","icon05_ny_[12, 3]","icon06_nx_[6, 1]","icon06_ny_[6, 1]","icon06_nx_[6, 3]","icon06_ny_[6, 3]","icon06_nx_[12, 1]","icon06_ny_[12, 1]","icon06_nx_[12, 3]","icon06_ny_[12, 3]","icon07_nx_[6, 1]","icon07_ny_[6, 1]","icon07_nx_[6, 3]","icon07_ny_[6, 3]","icon07_nx_[12, 1]","icon07_ny_[12, 1]","icon07_nx_[12, 3]","icon07_ny_[12, 3]","icon08_nx_[6, 1]","icon08_ny_[6, 1]","icon08_nx_[6, 3]","icon08_ny_[6, 3]","icon08_nx_[12, 1]","icon08_ny_[12, 1]","icon08_nx_[12, 3]","icon08_ny_[12, 3]","icon11_nx_[6, 1]","icon11_ny_[6, 1]","icon11_nx_[6, 3]","icon11_ny_[6, 3]","icon11_nx_[12, 1]","icon11_ny_[12, 1]","icon11_nx_[12, 3]","icon11_ny_[12, 3]","icon15_nx_[6, 1]","icon15_ny_[6, 1]","icon15_nx_[6, 3]","icon15_ny_[6, 3]","icon15_nx_[12, 1]","icon15_ny_[12, 1]","icon15_nx_[12, 3]","icon15_ny_[12, 3]"
0,0,2003/02,238.4324950536092,287.59040405782065,277.20359410095216,254.40416359914144,191.94029619598388,253.8705635917664,225.18449537913008,227.59168322855632,242.241294960022,259.38688366800943,239.55029502614337,314.54640443038943,261.2645944925944,261.1864036928813,215.76599561055505,267.9318437861125,226.98539533487957,274.2908838740031,241.88939496866865,285.4928040288289,-0.96352027978246,0.5750467050610163,0.2025106676951905,-0.5659292163933533,-2.361761341199867,-0.5842749148421091,-1.3619505020919611,-1.4877689329287862,-0.8489715908684783,-0.3946183494994508,-0.9299027297750964,1.5018207818688738,-0.2768506935209296,-0.3327490630067474,-1.6452094882651225,-0.1008341302028155,-1.307788893746764,0.1177959864830509,-0.8595548936485744,0.502929131848663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2003/03,238.4531950531006,293.20240413538613,261.3059944915772,255.94976362050372,206.7200958328247,265.11664374720255,250.19009476470944,231.11344327723185,233.7542951685588,265.8305637570699,257.3315945892334,316.8022444615682,255.22019464111327,263.8139237291972,220.0922955042521,276.8043239087423,233.0711951853434,280.8596839647929,247.8095948232015,289.43776408335367,-0.9628977325601016,0.7679928439186238,-0.2756055990762109,-0.5127899519210939,-1.917262624435829,-0.1976235047772893,-0.6099134574827785,-1.3666873231669954,-1.1042159520355024,-0.1730782254734356,-0.3951346657690613,1.579378803586718,-0.4586344824496391,-0.242412313403907,-1.515097118792176,0.204210552279606,-1.1247600103733368,0.3436378604901536,-0.6815063880540158,0.6385607783111923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2003/04,239.8400950190226,298.564164209493,262.00979447428386,257.3702436401367,228.7034952926636,272.45824384867353,265.05269439951576,231.99296328938803,225.9503953603109,273.66160386530555,271.8008942337036,316.4820844571431,245.15999488830568,268.2299237902323,229.20029528045652,284.06128400904333,244.6631949005127,285.36400402704874,256.089594619751,291.91440411758424,-0.921187068662076,0.952335482814058,-0.2544389935160189,-0.4639524374299222,-1.2561174742910002,0.0547880014659441,-0.1629245518293064,-1.336448551241114,-1.3389162548646938,0.0961607145193439,0.0400258426595967,1.5683713845174634,-0.7611924325159161,-0.0905858434831676,-1.241176340954394,0.4537120511826888,-0.7761335658525224,0.4985008598093085,-0.4324874991105775,0.7237101235250752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2003/05,248.7410948003133,302.34352426172893,276.25139412434896,256.25520362472537,250.5833947550456,275.9100838963826,266.72939435831705,232.5744032974243,228.74489529164632,280.9958439666748,286.0217938842774,313.63376441777547,244.33199490865076,272.793123853302,241.5995949757894,289.10656407877605,257.3315945892334,287.61616405817665,259.2980945409139,293.8169641438802,-0.6534917630478795,1.082273636654559,0.1738734954666949,-0.5022886210849085,-0.5980850602579646,0.1734656921206545,-0.1124982268182595,-1.3164580660348837,-1.254872379846283,0.3483191766460418,0.467715784419953,1.4704433114185862,-0.7860943214102598,0.0663015087682661,-0.8682705547615949,0.627173793067137,-0.3951346657690613,0.575932359468886,-0.3359926796449954,0.7891220276492614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2003/06,263.72789443206784,303.4585642771403,283.59989394378664,253.83744359130856,265.6943943837484,276.6755239069621,265.0733943990072,233.45024330952964,240.58529500071208,286.22512403895064,317.4857931111654,305.1918443010966,256.19309461720786,275.24768388722737,254.01959467061363,291.947524118042,270.0827942759196,287.60144405797325,261.36809449005125,295.3515241650899,-0.2027675740602566,1.120609820309545,0.394877759403997,-0.5854136133665164,-0.143625587936189,0.1997822802402515,-0.1623020046069471,-1.2863458161672692,-0.898775368657166,0.5281070214438547,1.4139875624050184,1.1802017097534356,-0.4293747629987842,0.1506917216325442,-0.4947422213464366,0.7248488220494805,-0.0116455767961672,0.5754262712358187,-0.2737379574091363,0.8418817259467184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2003/07,279.9359940338135,301.69216425272623,281.46779399617515,251.80240356318157,276.0236941299438,275.6009638921102,257.8904945755005,235.60304333928423,255.30299463907875,288.8342440750122,344.27159245300294,291.98800411860145,272.54609421539305,274.79504388097126,265.32179439290366,292.77920412953694,284.44859392293296,285.0328040224711,267.6608943354289,295.76736417083737,0.2846869010465248,1.0598792323412487,0.3307553955010615,-0.6553803115883239,0.167025476020749,0.1628378392262042,-0.3783258907653795,-1.2123304120809086,-0.4561442935602052,0.617811160755357,2.2195636681370416,0.7262405646904195,0.0624375426645057,0.1351295084656682,-0.1548314379386435,0.7534428072178863,0.4204021955206993,0.4871138745652534,-0.0844836018121215,0.8561787185309202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2003/08,302.9957934672038,295.8262441716512,283.12379395548504,249.46928353093463,278.9837940572103,274.0038438700358,245.01509489186608,240.04480340067545,272.2976942214966,288.42576406936644,366.77249190012617,274.78400388081866,284.05529393259684,272.2926438463847,275.0300941543579,291.88496411717733,298.7315935719808,279.9249639518738,276.9965941060384,294.5272041536967,0.9782045067540012,0.8582030714631972,0.3805591732897491,-0.7355952965297812,0.2560497288180292,0.1079272659382015,-0.7655502630724262,-1.0596182877522966,0.0549669759962039,0.6037672122876888,2.896272498840836,0.1347499422908658,0.4085737982958854,0.0490945088439155,0.1371432093475381,0.7226979470589368,0.8499597789481301,0.3115012576902632,0.1962851954716039,0.8135407848948463,0.1578117771298432,0.7994968364271777,,,,,,,0.32403188549958856,-0.756711828054591,,,,,,,0.3077211482737926,0.17999423032724707,,,,,,,-0.5497131410807014,-1.0631102965604735,,,,,,,-0.04706851374837042,0.6190510769263771,,,,,,,1.9877270825307005,0.2947497371756742,,,,,,,0.25474237965107643,0.10370142919207533,,,,,,,0.12892558601240434,0.7552141160336283,,,,,,,0.7740090178203813,0.509533583290216,,,,,,,0.16154706046399483,0.7500773204679768,,,,,,
7,7,2003/09,318.0239930979411,287.28864405364993,292.2731937306722,245.50960347620645,276.9344941075643,272.77104385299685,233.58869517262772,246.51792349014283,280.88819401041667,286.49376404266354,375.7148916803996,255.9902436210632,295.37819365437826,267.784643784078,285.93899388631183,289.0513640780131,311.7932932510376,272.49504384918214,287.3051938527425,291.45072411117553,1.4301737901863425,0.5646718962830996,0.6557250455722474,-0.8717330312253797,0.1944175538045293,0.0655423764186632,-1.109196329814372,-0.837065987260143,0.3133240732750204,0.537343131697364,3.165212898899749,-0.511398209280155,0.7491071289260378,-0.105895012533508,0.4652255955305173,0.625275962193127,1.2427870762564042,0.0560532220486162,0.5063137122061845,0.7077683441833968,1.3654911337832838,0.5646718962830997,,,,,,,0.41641789329760365,-0.8395964284254894,,,,,,,0.19684548797172685,0.03353229567703882,,,,,,,-0.9316458619977004,-0.824312563786801,,,,,,,0.31145643160794456,0.5822584623822505,,,,,,,3.0423843319283987,-0.3669353231505695,,,,,,,0.649624082793134,-0.08567678762239592,,,,,,,0.45663444386196883,0.5925953145426879,,,,,,,1.0421401064902285,0.1340161143529167,,,,,,,0.47780104942216106,0.6904095177891254,,,,,,
8,8,2003/10,323.46809296417234,277.7832039222717,309.1850933151245,238.5433633799235,271.8629942321777,272.4398438484192,225.03959538269044,254.5145636006673,280.3706940231324,284.65008401718137,373.6241917317709,237.5644833663941,300.2012935358684,262.4155237098694,297.8621935933431,284.098084009552,317.2166931177775,264.10096373316446,298.4003935801188,286.401764041392,1.5939037096666515,0.2378654197787022,1.164346126239221,-1.1112392875253485,0.0418934843266713,0.0541553911746061,-1.3663083326484715,-0.5621335546453349,0.2977603927160556,0.4739555805054549,3.102335629441531,-1.1448941550244456,0.8941606317355906,-0.2904906955454759,0.8238127956090685,0.4549772717653629,1.4058944485143556,-0.2325435928590596,0.8399990233903926,0.5341800802406818,1.447107074634495,0.31983906133007656,1.0149970475953938,0.17969057738740532,,,,,1.0275725014870374,-1.0687152237417143,0.3256505082777207,-1.2357496450661831,,,,,0.13459076573586687,0.02802858614241206,0.28898247688079837,0.2018698942016608,,,,,-1.236694000953412,-0.6628830696435731,-1.1955436295555089,-0.13638682857592296,,,,,0.35304258606149846,0.5224261810276518,0.35665335995117864,0.5621920639410589,,,,,2.9900903652502757,-0.9148011398595626,2.774004224369607,-0.8140136682438441,,,,,0.7532159405936044,-0.23187302595024314,0.11610111323181727,-0.10468040077414184,,,,,0.7875805472677984,0.44963804090648385,0.6638181594629098,0.4665413878909928,,,,,1.6317545807860552,-0.04439264000978137,1.6206109855058362,-0.13006072566255947,,,,,0.697809237803689,0.5688977330292249,0.20126557325047303,0.7237354279367278,,,,
9,9,2003/11,320.6114930343628,268.7856037979126,317.8583931020101,230.0352032623291,265.61159438578284,273.22000385920205,222.10019545491537,263.03008371836347,278.5697940673828,283.1265639961243,365.3855919342041,220.6107231320699,299.47679355367023,257.175203637441,307.880993347168,277.36736391652425,313.65629320526125,256.3398436258952,305.6039934031169,280.0721639539083,1.5079921929811666,-0.0714810126848069,1.425193412407473,-1.4037582862393094,-0.1461157768256247,0.0809780675272704,-1.4547100382233922,-0.2693615118148382,0.2435987843708577,0.4215754483828003,2.854561834942809,-1.7277812774618249,0.8723714789530391,-0.4706581065180892,1.12512565123063,0.2235684271945003,1.2988163262686785,-0.4993786137447618,1.0566454567711845,0.3165621400209538,1.4087581657372064,0.011555414156011887,1.2968241751571308,-0.0859551361505843,,,,,1.200267100969312,-1.3588682599660769,1.1181531223402135,-1.3452544864965172,,,,,-0.07109883653141338,0.046804459589277064,0.176923976856252,0.08386277045576454,,,,,-1.2744826173505786,-0.2998153712397738,-1.1257560859291103,-0.13638682857592296,,,,,0.14760200268316215,0.4639097290790337,0.48346622914562476,0.48476056428148206,,,,,2.6651829699013247,-1.4733580704921427,2.0167377830926108,-1.2716059963791313,,,,,0.9293968045210868,-0.3563833834910771,0.8666440445073402,-0.36837767461481635,,,,,0.9843054695331152,0.393436942624156,0.9132105767397636,0.15649908410701294,,,,,1.7191602108052018,-0.4965445196395746,0.745807628647537,-0.3612671349401946,,,,,1.044692550101899,0.3492301354655664,0.4037801846837247,0.7571119469076377,,,,
