,date,icon01_x,icon01_y,icon02_x,icon02_y,icon03_x,icon03_y,icon04_x,icon04_y,icon05_x,icon05_y,icon06_x,icon06_y,icon07_x,icon07_y,icon08_x,icon08_y,icon11_x,icon11_y,icon15_x,icon15_y,icon01_nx,icon01_ny,icon02_nx,icon02_ny,icon03_nx,icon03_ny,icon04_nx,icon04_ny,icon05_nx,icon05_ny,icon06_nx,icon06_ny,icon07_nx,icon07_ny,icon08_nx,icon08_ny,icon11_nx,icon11_ny,icon15_nx,icon15_ny
0,2003/02,238.43249505360922,287.59040405782065,277.20359410095216,254.40416359914144,191.94029619598388,253.87056359176637,225.18449537913006,227.59168322855632,242.24129496002197,259.38688366800943,239.55029502614337,314.54640443038943,261.26459449259437,261.1864036928813,215.76599561055502,267.9318437861125,226.98539533487954,274.2908838740031,241.88939496866863,285.4928040288289,-0.9635202797824599,0.5750467050610163,0.20251066769519058,-0.5659292163933533,-2.361761341199867,-0.5842749148421091,-1.3619505020919611,-1.4877689329287862,-0.8489715908684783,-0.3946183494994508,-0.9299027297750964,1.5018207818688738,-0.2768506935209296,-0.3327490630067474,-1.6452094882651223,-0.10083413020281558,-1.307788893746764,0.1177959864830509,-0.8595548936485744,0.502929131848663
1,2003/03,238.4531950531006,293.20240413538613,261.30599449157717,255.94976362050375,206.7200958328247,265.11664374720255,250.19009476470944,231.11344327723185,233.75429516855877,265.8305637570699,257.3315945892334,316.8022444615682,255.22019464111327,263.8139237291972,220.09229550425212,276.8043239087423,233.0711951853434,280.8596839647929,247.8095948232015,289.43776408335367,-0.9628977325601015,0.7679928439186238,-0.2756055990762109,-0.5127899519210939,-1.917262624435829,-0.19762350477728932,-0.6099134574827785,-1.3666873231669954,-1.1042159520355024,-0.17307822547343565,-0.3951346657690613,1.579378803586718,-0.4586344824496391,-0.24241231340390706,-1.515097118792176,0.20421055227960602,-1.1247600103733368,0.34363786049015366,-0.6815063880540158,0.6385607783111923
2,2003/04,239.8400950190226,298.564164209493,262.00979447428386,257.3702436401367,228.70349529266358,272.45824384867353,265.05269439951576,231.99296328938803,225.95039536031086,273.66160386530555,271.8008942337036,316.4820844571431,245.15999488830568,268.2299237902323,229.20029528045654,284.06128400904333,244.6631949005127,285.36400402704874,256.089594619751,291.91440411758424,-0.9211870686620759,0.9523354828140579,-0.2544389935160189,-0.4639524374299222,-1.2561174742910002,0.054788001465944126,-0.16292455182930649,-1.336448551241114,-1.3389162548646938,0.09616071451934395,0.04002584265959678,1.5683713845174634,-0.7611924325159161,-0.09058584348316769,-1.2411763409543939,0.4537120511826888,-0.7761335658525224,0.4985008598093085,-0.4324874991105775,0.7237101235250752
3,2003/05,248.7410948003133,302.34352426172893,276.25139412434896,256.25520362472537,250.58339475504556,275.9100838963826,266.72939435831705,232.5744032974243,228.74489529164632,280.9958439666748,286.0217938842774,313.63376441777547,244.33199490865073,272.793123853302,241.5995949757894,289.10656407877605,257.3315945892334,287.61616405817665,259.2980945409139,293.8169641438802,-0.6534917630478795,1.0822736366545587,0.17387349546669495,-0.5022886210849085,-0.5980850602579646,0.17346569212065455,-0.1124982268182595,-1.3164580660348837,-1.254872379846283,0.3483191766460418,0.467715784419953,1.4704433114185862,-0.7860943214102598,0.06630150876826611,-0.8682705547615949,0.627173793067137,-0.3951346657690613,0.575932359468886,-0.33599267964499546,0.7891220276492614
4,2003/06,263.72789443206784,303.4585642771403,283.59989394378664,253.83744359130856,265.6943943837484,276.6755239069621,265.07339439900716,233.45024330952964,240.58529500071208,286.22512403895064,317.4857931111654,305.1918443010966,256.19309461720786,275.24768388722737,254.01959467061363,291.947524118042,270.0827942759196,287.60144405797325,261.36809449005125,295.3515241650899,-0.2027675740602566,1.120609820309545,0.394877759403997,-0.5854136133665164,-0.14362558793618907,0.19978228024025158,-0.16230200460694716,-1.2863458161672692,-0.898775368657166,0.5281070214438547,1.4139875624050184,1.1802017097534356,-0.4293747629987842,0.15069172163254424,-0.49474222134643664,0.7248488220494805,-0.011645576796167203,0.5754262712358187,-0.2737379574091363,0.8418817259467184
5,2003/07,279.9359940338135,301.69216425272623,281.46779399617515,251.80240356318154,276.0236941299438,275.6009638921102,257.8904945755005,235.60304333928426,255.30299463907875,288.8342440750122,344.27159245300294,291.98800411860145,272.54609421539305,274.79504388097126,265.32179439290366,292.77920412953694,284.44859392293296,285.0328040224711,267.6608943354289,295.76736417083737,0.2846869010465248,1.0598792323412487,0.33075539550106153,-0.6553803115883239,0.16702547602074902,0.16283783922620423,-0.37832589076537954,-1.2123304120809086,-0.4561442935602052,0.617811160755357,2.2195636681370416,0.7262405646904195,0.062437542664505796,0.13512950846566826,-0.15483143793864357,0.7534428072178863,0.4204021955206993,0.4871138745652534,-0.08448360181212151,0.8561787185309202
6,2003/08,302.9957934672038,295.8262441716512,283.12379395548504,249.46928353093466,278.9837940572103,274.0038438700358,245.01509489186606,240.04480340067545,272.2976942214966,288.42576406936644,366.77249190012617,274.78400388081866,284.05529393259684,272.2926438463847,275.0300941543579,291.88496411717733,298.7315935719808,279.9249639518738,276.9965941060384,294.5272041536967,0.9782045067540011,0.8582030714631972,0.38055917328974914,-0.7355952965297812,0.2560497288180292,0.10792726593820154,-0.7655502630724262,-1.0596182877522966,0.054966975996203926,0.6037672122876888,2.896272498840836,0.13474994229086584,0.4085737982958854,0.04909450884391557,0.13714320934753813,0.7226979470589368,0.8499597789481301,0.31150125769026327,0.19628519547160397,0.8135407848948463
7,2003/09,318.0239930979411,287.28864405364993,292.2731937306722,245.50960347620645,276.9344941075643,272.77104385299685,233.58869517262775,246.51792349014283,280.88819401041667,286.49376404266354,375.7148916803996,255.9902436210632,295.37819365437826,267.78464378407796,285.93899388631183,289.0513640780131,311.7932932510376,272.49504384918214,287.3051938527425,291.45072411117553,1.4301737901863425,0.5646718962830996,0.6557250455722474,-0.8717330312253797,0.19441755380452938,0.06554237641866321,-1.1091963298143719,-0.837065987260143,0.3133240732750204,0.537343131697364,3.165212898899749,-0.511398209280155,0.7491071289260378,-0.10589501253350805,0.46522559553051734,0.625275962193127,1.2427870762564042,0.05605322204861627,0.5063137122061845,0.7077683441833968
8,2003/10,323.46809296417234,277.7832039222717,309.1850933151245,238.5433633799235,271.8629942321777,272.4398438484192,225.03959538269044,254.51456360066732,280.37069402313233,284.65008401718137,373.62419173177085,237.56448336639406,300.20129353586833,262.4155237098694,297.8621935933431,284.098084009552,317.2166931177775,264.10096373316446,298.4003935801188,286.40176404139197,1.5939037096666517,0.23786541977870226,1.164346126239221,-1.1112392875253483,0.041893484326671386,0.0541553911746061,-1.3663083326484715,-0.5621335546453349,0.2977603927160556,0.4739555805054549,3.102335629441531,-1.1448941550244456,0.8941606317355906,-0.2904906955454759,0.8238127956090685,0.45497727176536296,1.4058944485143556,-0.23254359285905965,0.8399990233903926,0.5341800802406818
9,2003/11,320.6114930343628,268.7856037979126,317.8583931020101,230.0352032623291,265.61159438578284,273.22000385920205,222.10019545491537,263.03008371836347,278.5697940673828,283.1265639961243,365.3855919342041,220.6107231320699,299.47679355367023,257.175203637441,307.880993347168,277.36736391652425,313.65629320526125,256.3398436258952,305.6039934031169,280.0721639539083,1.5079921929811666,-0.07148101268480699,1.425193412407473,-1.4037582862393094,-0.14611577682562474,0.08097806752727041,-1.4547100382233922,-0.2693615118148382,0.2435987843708577,0.42157544838280037,2.8545618349428095,-1.7277812774618249,0.8723714789530391,-0.47065810651808926,1.12512565123063,0.22356842719450037,1.2988163262686783,-0.4993786137447618,1.0566454567711843,0.3165621400209538
